Date,Period,number1,number2,number3,sale_amount,reward ratio
2018-02-01,2018032,7,1,2,"46,521,728", 60.76%
2018-01-31,2018031,3,2,8,"46,704,910", 66.96%
2018-01-30,2018030,6,8,2,"45,155,570", 55.13%
2018-01-29,2018029,3,1,3,"45,190,750", 55.63%
2018-01-28,2018028,8,2,8,"44,335,790", 57.46%
2018-01-27,2018027,9,7,3,"43,855,270", 32.25%
2018-01-26,2018026,9,3,2,"45,984,014", 65.57%
2018-01-25,2018025,6,4,7,"44,070,002", 38.64%
2018-01-24,2018024,6,6,4,"44,574,490", 28.40%
2018-01-23,2018023,1,0,2,"46,343,884", 20.21%
2018-01-22,2018022,9,9,2,"46,875,682", 60.38%
2018-01-21,2018021,2,7,2,"49,013,348", 54.81%
2018-01-20,2018020,7,4,9,"48,570,764", 31.52%
2018-01-19,2018019,1,7,9,"51,127,954", 48.59%
2018-01-18,2018018,8,1,0,"48,776,502", 44.64%
2018-01-17,2018017,6,5,9,"48,547,166", 55.01%
2018-01-16,2018016,4,0,1,"48,990,110", 34.81%
2018-01-15,2018015,8,7,5,"48,490,130", 53.63%
2018-01-14,2018014,0,8,4,"47,473,310", 22.61%
2018-01-13,2018013,7,4,6,"45,751,350", 80.04%
2018-01-12,2018012,8,9,1,"47,206,654", 47.67%
2018-01-11,2018011,0,7,8,"46,063,512", 35.94%
2018-01-10,2018010,8,5,8,"47,804,654", 36.94%
2018-01-09,2018009,8,1,3,"46,964,346", 49.95%
2018-01-08,2018008,5,8,3,"44,794,146", 81.32%
2018-01-07,2018007,0,2,1,"45,694,678", 23.01%
2018-01-06,2018006,7,2,0,"44,928,872", 32.41%
2018-01-05,2018005,8,2,8,"47,138,854", 47.34%
2018-01-04,2018004,3,9,3,"47,759,896", 54.42%
2018-01-03,2018003,7,3,6,"45,961,674", 73.57%
2018-01-02,2018002,9,2,8,"46,624,244", 48.00%
2018-01-01,2018001,3,2,6,"44,047,350", 51.20%
2017-12-31,2017358,6,1,2,"45,404,058", 45.96%
2017-12-30,2017357,6,6,5,"46,328,368", 46.10%
2017-12-29,2017356,6,4,7,"47,229,832", 70.72%
2017-12-28,2017355,0,3,1,"46,945,714", 38.92%
2017-12-27,2017354,2,9,4,"48,270,332", 27.31%
2017-12-26,2017353,0,9,4,"47,232,570", 35.53%
2017-12-25,2017352,8,5,5,"48,489,138", 51.79%
2017-12-24,2017351,1,0,9,"47,677,460", 49.40%
2017-12-23,2017350,7,2,6,"47,609,926", 54.30%
2017-12-22,2017349,5,3,7,"47,051,056", 66.52%
2017-12-21,2017348,3,1,1,"45,113,192", 34.98%
2017-12-20,2017347,6,6,6,"49,463,058", 194.10%
2017-12-19,2017346,8,6,1,"49,205,350", 22.05%
2017-12-18,2017345,1,7,3,"46,790,300", 66.15%
2017-12-17,2017344,6,9,8,"48,071,954", 36.32%
2017-12-16,2017343,8,6,1,"46,578,380", 54.47%
2017-12-15,2017342,9,6,0,"49,671,162", 63.10%
2017-12-14,2017341,1,6,2,"49,214,898", 105.58%
2017-12-13,2017340,7,1,4,"47,185,344", 66.57%
2017-12-12,2017339,8,5,3,"44,756,400", 88.81%
2017-12-11,2017338,9,0,1,"42,529,768", 46.35%
2017-12-10,2017337,4,4,4,"43,859,716", 162.31%
2017-12-09,2017336,7,7,5,"44,639,760", 42.03%
2017-12-08,2017335,7,0,5,"47,711,014", 33.55%
2017-12-07,2017334,9,0,5,"45,612,242", 52.43%
2017-12-06,2017333,4,4,2,"48,594,470", 37.68%
2017-12-05,2017332,8,0,4,"46,145,498", 58.60%
2017-12-04,2017331,7,8,2,"46,440,576", 68.07%
2017-12-03,2017330,4,3,0,"44,873,136", 27.81%
2017-12-02,2017329,9,1,3,"42,449,064", 61.52%
2017-12-01,2017328,0,3,0,"48,445,592", 19.29%
2017-11-30,2017327,3,5,1,"46,263,686", 54.73%
2017-11-29,2017326,4,9,0,"46,917,384", 27.35%
2017-11-28,2017325,4,0,6,"46,664,766", 30.64%
2017-11-27,2017324,6,3,7,"46,445,008", 160.06%
2017-11-26,2017323,2,8,0,"45,097,704", 43.06%
2017-11-25,2017322,4,1,9,"42,769,366", 142.76%
2017-11-24,2017321,1,8,8,"44,805,466", 54.05%
2017-11-23,2017320,5,4,3,"44,117,094", 41.50%
2017-11-22,2017319,1,0,5,"44,556,732", 44.84%
2017-11-21,2017318,8,5,6,"43,231,828", 78.34%
2017-11-20,2017317,7,7,1,"43,848,220", 34.22%
2017-11-19,2017316,7,2,3,"41,815,870", 46.14%
2017-11-18,2017315,7,9,1,"39,603,236", 51.30%
2017-11-17,2017314,3,0,0,"44,723,526", 30.04%
2017-11-16,2017313,2,3,2,"43,668,512", 46.48%
2017-11-15,2017312,1,1,4,"44,521,734", 40.84%
2017-11-14,2017311,9,7,9,"45,056,664", 55.93%
2017-11-13,2017310,1,3,6,"44,248,742", 36.43%
2017-11-12,2017309,8,7,9,"43,350,128", 54.36%
2017-11-11,2017308,7,1,0,"44,160,650", 21.90%
2017-11-10,2017307,5,1,7,"45,391,188", 30.37%
2017-11-09,2017306,8,1,7,"44,258,698", 53.72%
2017-11-08,2017305,4,2,0,"46,460,116", 50.59%
2017-11-07,2017304,1,0,9,"45,811,526", 63.82%
2017-11-06,2017303,4,9,7,"45,892,834", 59.45%
2017-11-05,2017302,2,4,1,"44,021,582", 31.16%
2017-11-04,2017301,3,9,1,"42,535,182", 35.88%
2017-11-03,2017300,0,5,0,"48,033,958", 26.35%
2017-11-02,2017299,9,2,1,"47,817,180", 46.55%
2017-11-01,2017298,2,1,8,"47,646,122", 81.33%
2017-10-31,2017297,4,6,2,"45,914,766", 52.10%
2017-10-30,2017296,9,5,9,"45,661,316", 34.16%
2017-10-29,2017295,7,2,3,"45,576,568", 55.31%
2017-10-28,2017294,7,5,7,"43,424,260", 43.91%
2017-10-27,2017293,6,6,9,"47,577,208", 61.63%
2017-10-26,2017292,7,1,5,"46,514,584", 29.94%
2017-10-25,2017291,7,6,5,"47,301,744", 53.91%
2017-10-24,2017290,2,8,5,"47,170,852", 24.53%
2017-10-23,2017289,2,3,6,"44,242,786", 66.71%
2017-10-22,2017288,3,0,0,"45,874,932", 26.87%
2017-10-21,2017287,2,8,5,"44,017,476", 73.79%
2017-10-20,2017286,5,1,2,"45,923,590", 151.36%
2017-10-19,2017285,4,3,4,"44,388,588", 39.92%
2017-10-18,2017284,1,3,1,"45,631,900", 35.86%
2017-10-17,2017283,3,5,5,"45,544,890", 37.40%
2017-10-16,2017282,5,6,8,"44,235,396", 32.04%
2017-10-15,2017281,6,0,9,"42,865,390", 53.13%
2017-10-14,2017280,6,5,8,"42,359,996", 43.75%
2017-10-13,2017279,4,5,3,"44,073,566", 44.69%
2017-10-12,2017278,9,0,2,"43,072,046", 34.45%
2017-10-11,2017277,5,5,7,"41,909,102", 56.88%
2017-10-10,2017276,8,8,7,"42,971,914", 34.89%
2017-10-09,2017275,8,9,8,"42,506,964", 89.93%
2017-10-08,2017274,9,4,4,"44,671,164", 57.51%
2017-10-07,2017273,2,6,7,"43,177,616", 78.97%
2017-10-06,2017272,9,3,4,"42,942,024", 45.44%
2017-10-05,2017271,4,2,8,"40,788,424", 48.67%
2017-10-04,2017270,1,3,5,"37,636,860", 40.36%
2017-10-03,2017269,9,3,8,"39,614,646", 33.27%
2017-10-02,2017268,5,7,8,"38,277,492", 72.69%
2017-10-01,2017267,7,7,0,"40,098,116", 37.84%
2017-09-30,2017266,2,0,3,"43,599,998", 21.67%
2017-09-29,2017265,3,7,2,"45,242,790", 42.58%
2017-09-28,2017264,9,3,3,"46,577,604", 59.79%
2017-09-27,2017263,6,7,2,"45,258,508", 61.83%
2017-09-26,2017262,9,1,2,"45,315,412", 57.78%
2017-09-25,2017261,6,8,6,"48,218,734", 42.60%
2017-09-24,2017260,0,9,5,"47,780,724", 60.10%
2017-09-23,2017259,4,8,1,"49,183,776", 54.37%
2017-09-22,2017258,3,6,1,"50,454,842", 48.40%
2017-09-21,2017257,2,3,4,"49,665,770", 50.47%
2017-09-20,2017256,3,6,2,"49,097,560", 24.02%
2017-09-19,2017255,5,2,1,"49,232,200", 34.19%
2017-09-18,2017254,6,3,9,"49,277,494", 48.68%
2017-09-17,2017253,3,2,6,"48,226,254", 41.58%
2017-09-16,2017252,3,8,7,"47,393,168", 73.79%
2017-09-15,2017251,9,5,1,"48,189,604", 50.39%
2017-09-14,2017250,1,4,2,"47,491,358", 28.63%
2017-09-13,2017249,3,0,2,"48,147,378", 45.34%
2017-09-12,2017248,8,5,6,"47,791,284", 60.40%
2017-09-11,2017247,3,7,0,"47,586,980", 36.36%
2017-09-10,2017246,7,7,8,"47,665,310", 35.53%
2017-09-09,2017245,2,8,4,"47,435,854", 32.82%
2017-09-08,2017244,0,4,8,"51,131,260", 46.24%
2017-09-07,2017243,7,5,1,"49,512,124", 36.50%
2017-09-06,2017242,2,3,7,"47,487,396", 129.05%
2017-09-05,2017241,6,6,4,"49,543,152", 104.53%
2017-09-04,2017240,5,9,1,"48,655,236", 46.96%
2017-09-03,2017239,3,8,9,"48,559,834", 68.93%
2017-09-02,2017238,5,1,7,"46,701,460", 49.52%
2017-09-01,2017237,1,3,5,"49,140,876", 40.89%
2017-08-31,2017236,9,3,7,"47,150,848", 39.82%
2017-08-30,2017235,3,6,2,"46,547,720", 68.21%
2017-08-29,2017234,8,9,5,"46,262,480", 29.14%
2017-08-28,2017233,9,5,2,"44,778,444", 69.63%
2017-08-27,2017232,0,9,1,"43,359,946", 33.64%
2017-08-26,2017231,7,4,8,"43,337,268", 60.48%
2017-08-25,2017230,5,9,8,"45,020,612", 46.05%
2017-08-24,2017229,7,0,7,"43,605,552", 44.76%
2017-08-23,2017228,5,3,5,"42,908,974", 62.17%
2017-08-22,2017227,8,8,5,"43,710,284", 64.30%
2017-08-21,2017226,9,0,3,"44,145,550", 64.84%
2017-08-20,2017225,8,0,1,"44,219,078", 41.36%
2017-08-19,2017224,2,6,5,"42,381,042", 66.26%
2017-08-18,2017223,7,7,8,"46,352,062", 60.06%
2017-08-17,2017222,7,3,1,"43,602,030", 48.18%
2017-08-16,2017221,8,5,7,"43,089,762", 42.33%
2017-08-15,2017220,2,8,7,"41,461,492", 89.26%
2017-08-14,2017219,5,1,3,"41,264,474", 32.67%
2017-08-13,2017218,9,1,1,"41,470,712", 88.04%
2017-08-12,2017217,8,1,2,"39,080,998", 112.46%
2017-08-11,2017216,0,6,3,"42,607,836", 31.29%
2017-08-10,2017215,3,6,9,"40,945,436", 94.26%
2017-08-09,2017214,3,1,3,"40,933,828", 33.64%
2017-08-08,2017213,9,8,6,"42,404,644", 32.19%
2017-08-07,2017212,7,1,6,"40,483,604", 79.86%
2017-08-06,2017211,1,2,4,"39,941,024", 42.21%
2017-08-05,2017210,2,5,6,"38,158,814", 69.84%
2017-08-04,2017209,3,5,4,"39,885,640", 36.98%
2017-08-03,2017208,8,2,2,"39,367,408", 42.12%
2017-08-02,2017207,3,3,1,"38,976,356", 34.19%
2017-08-01,2017206,3,4,4,"39,439,176", 57.19%
2017-07-31,2017205,7,7,0,"39,560,170", 31.11%
2017-07-30,2017204,0,5,3,"38,999,878", 27.15%
2017-07-29,2017203,0,7,0,"40,514,018", 39.15%
2017-07-28,2017202,9,9,6,"44,215,164", 53.45%
2017-07-27,2017201,3,5,8,"41,862,850", 96.16%
2017-07-26,2017200,8,2,7,"42,140,884", 62.43%
2017-07-25,2017199,3,6,7,"41,558,864", 53.35%
2017-07-24,2017198,7,0,3,"41,452,254", 38.46%
2017-07-23,2017197,6,8,1,"40,723,654", 59.24%
2017-07-22,2017196,1,7,4,"38,706,398", 52.54%
2017-07-21,2017195,6,8,6,"40,691,606", 43.51%
2017-07-20,2017194,4,6,6,"41,225,452", 58.22%
2017-07-19,2017193,3,5,2,"41,050,352", 47.66%
2017-07-18,2017192,4,0,6,"40,257,720", 47.06%
2017-07-17,2017191,5,6,7,"39,909,308", 60.92%
2017-07-16,2017190,8,8,3,"40,429,880", 51.50%
2017-07-15,2017189,5,6,2,"40,337,008", 85.62%
2017-07-14,2017188,7,4,1,"40,685,166", 61.50%
2017-07-13,2017187,6,1,3,"38,887,678", 52.37%
2017-07-12,2017186,0,3,3,"39,155,126", 40.23%
2017-07-11,2017185,2,2,8,"40,075,260", 53.28%
2017-07-10,2017184,8,9,9,"40,389,394", 69.97%
2017-07-09,2017183,9,9,4,"41,816,460", 29.15%
2017-07-08,2017182,1,4,8,"40,332,100", 41.10%
2017-07-07,2017181,5,6,9,"42,893,156", 45.87%
2017-07-06,2017180,3,6,4,"42,529,264", 40.15%
2017-07-05,2017179,1,5,9,"40,487,080", 59.93%
2017-07-04,2017178,7,4,4,"40,880,322", 68.50%
2017-07-03,2017177,9,7,5,"40,251,648", 50.32%
2017-07-02,2017176,2,7,6,"37,497,772", 64.31%
2017-07-01,2017175,0,0,1,"40,239,944", 59.54%
2017-06-30,2017174,4,1,4,"43,272,894", 53.08%
2017-06-29,2017173,6,9,4,"42,055,536", 44.84%
2017-06-28,2017172,5,5,8,"40,771,396", 50.49%
2017-06-27,2017171,3,4,6,"40,244,766", 60.74%
2017-06-26,2017170,8,8,1,"41,884,216", 49.82%
2017-06-25,2017169,8,5,4,"40,559,766", 85.47%
2017-06-24,2017168,1,3,6,"38,781,356", 52.48%
2017-06-23,2017167,4,7,1,"40,413,596", 39.26%
2017-06-22,2017166,4,9,6,"37,301,602", 56.41%
2017-06-21,2017165,3,3,3,"39,235,576", 132.42%
2017-06-20,2017164,3,1,2,"39,537,828", 33.20%
2017-06-19,2017163,0,0,8,"41,126,294", 19.03%
2017-06-18,2017162,3,9,8,"39,096,630", 49.73%
2017-06-17,2017161,7,9,7,"39,118,936", 38.14%
2017-06-16,2017160,2,1,0,"43,493,006", 28.59%
2017-06-15,2017159,8,7,2,"44,772,604", 35.62%
2017-06-14,2017158,2,8,5,"45,034,730", 65.83%
2017-06-13,2017157,1,7,3,"44,125,152", 78.82%
2017-06-12,2017156,2,4,8,"43,057,114", 51.67%
2017-06-11,2017155,9,3,5,"40,493,882", 58.04%
2017-06-10,2017154,3,6,3,"40,079,362", 61.33%
2017-06-09,2017153,6,0,8,"41,463,492", 79.44%
2017-06-08,2017152,7,0,7,"41,178,018", 57.59%
2017-06-07,2017151,0,7,6,"40,133,208", 55.99%
2017-06-06,2017150,1,1,3,"40,290,746", 37.46%
2017-06-05,2017149,7,3,9,"41,898,850", 16.96%
2017-06-04,2017148,7,3,9,"42,030,312", 38.14%
2017-06-03,2017147,2,9,9,"40,236,988", 48.05%
2017-06-02,2017146,5,4,9,"43,307,326", 21.27%
2017-06-01,2017145,9,4,5,"41,967,748", 33.95%
2017-05-31,2017144,5,8,5,"42,335,594", 49.91%
2017-05-30,2017143,6,9,8,"39,202,064", 61.89%
2017-05-29,2017142,8,7,7,"39,079,958", 37.13%
2017-05-28,2017141,1,1,5,"39,543,958", 39.13%
2017-05-27,2017140,6,1,4,"41,107,686", 38.57%
2017-05-26,2017139,6,9,5,"42,451,252", 59.93%
2017-05-25,2017138,1,8,1,"41,452,834", 37.98%
2017-05-24,2017137,1,1,9,"39,792,742", 58.51%
2017-05-23,2017136,8,8,8,"42,971,232", 114.19%
2017-05-22,2017135,0,7,7,"43,284,670", 55.45%
2017-05-21,2017134,3,5,9,"42,802,782", 39.21%
2017-05-20,2017133,9,2,0,"41,330,984", 49.49%
2017-05-19,2017132,5,5,6,"44,636,886", 38.39%
2017-05-18,2017131,4,8,2,"43,107,264", 74.78%
2017-05-17,2017130,6,7,6,"42,489,708", 37.18%
2017-05-16,2017129,5,6,6,"42,733,118", 62.16%
2017-05-15,2017128,0,5,5,"42,728,342", 49.86%
2017-05-14,2017127,6,2,3,"41,931,160", 83.83%
2017-05-13,2017126,4,9,9,"39,144,288", 47.86%
2017-05-12,2017125,8,7,8,"43,219,378", 33.72%
2017-05-11,2017124,0,1,5,"43,537,924", 16.20%
2017-05-10,2017123,0,0,8,"45,870,366", 26.64%
2017-05-09,2017122,0,4,5,"46,235,448", 49.27%
2017-05-08,2017121,4,3,9,"44,961,962", 43.83%
2017-05-07,2017120,2,8,4,"45,424,838", 34.40%
2017-05-06,2017119,5,0,9,"44,682,694", 39.66%
2017-05-05,2017118,6,0,5,"47,774,940", 34.92%
2017-05-04,2017117,7,3,1,"45,885,628", 63.51%
2017-05-03,2017116,8,1,4,"43,473,884", 157.52%
2017-05-02,2017115,1,6,0,"45,477,648", 17.92%
2017-05-01,2017114,1,6,7,"42,230,190", 59.08%
2017-04-30,2017113,7,4,5,"41,777,008", 84.15%
2017-04-29,2017112,6,9,5,"41,820,696", 47.82%
2017-04-28,2017111,3,3,1,"44,401,830", 79.41%
2017-04-27,2017110,2,6,6,"44,360,496", 56.46%
2017-04-26,2017109,4,8,8,"44,488,796", 55.17%
2017-04-25,2017108,5,5,7,"46,320,892", 100.57%
2017-04-24,2017107,7,2,5,"46,256,916", 54.41%
2017-04-23,2017106,9,3,6,"44,246,402", 55.19%
2017-04-22,2017105,4,2,1,"44,206,138", 31.66%
2017-04-21,2017104,5,2,4,"46,943,324", 55.21%
2017-04-20,2017103,3,5,0,"45,823,514", 37.19%
2017-04-19,2017102,6,9,8,"45,755,206", 40.89%
2017-04-18,2017101,8,0,9,"45,854,574", 52.60%
2017-04-17,2017100,5,9,6,"45,892,166", 50.27%
2017-04-16,2017099,0,4,6,"45,310,288", 44.08%
2017-04-15,2017098,4,0,7,"42,929,664", 31.30%
2017-04-14,2017097,7,4,9,"46,174,158", 64.97%
2017-04-13,2017096,4,7,0,"44,555,580", 39.47%
2017-04-12,2017095,5,9,3,"44,541,754", 26.18%
2017-04-11,2017094,5,7,3,"44,910,682", 67.10%
2017-04-10,2017093,8,4,0,"43,017,514", 36.44%
2017-04-09,2017092,3,0,5,"43,027,944", 27.77%
2017-04-08,2017091,3,4,1,"41,542,080", 37.24%
2017-04-07,2017090,3,9,0,"44,751,828", 27.95%
2017-04-06,2017089,5,1,8,"41,863,478", 82.11%
2017-04-05,2017088,3,6,6,"43,016,550", 41.79%
2017-04-04,2017087,3,7,7,"40,992,440", 58.84%
2017-04-03,2017086,6,9,7,"40,272,908", 62.51%
2017-04-02,2017085,5,6,0,"40,739,688", 38.54%
2017-04-01,2017084,8,2,2,"43,719,256", 39.46%
2017-03-31,2017083,1,0,5,"46,846,248", 24.36%
2017-03-30,2017082,6,2,5,"45,942,054", 51.87%
2017-03-29,2017081,1,2,9,"46,244,244", 61.81%
2017-03-28,2017080,7,3,5,"44,498,616", 103.81%
2017-03-27,2017079,4,8,7,"44,365,062", 36.28%
2017-03-26,2017078,4,4,9,"42,107,808", 89.76%
2017-03-25,2017077,0,2,0,"43,399,836", 29.31%
2017-03-24,2017076,0,7,4,"45,023,604", 29.13%
2017-03-23,2017075,7,8,7,"45,894,818", 48.75%
2017-03-22,2017074,5,7,6,"46,658,832", 32.64%
2017-03-21,2017073,0,7,5,"47,167,150", 32.70%
2017-03-20,2017072,1,7,4,"45,123,368", 73.79%
2017-03-19,2017071,8,8,2,"44,904,382", 36.26%
2017-03-18,2017070,2,3,1,"44,084,318", 47.93%
2017-03-17,2017069,5,1,8,"44,593,002", 69.25%
2017-03-16,2017068,9,1,0,"44,923,374", 64.52%
2017-03-15,2017067,6,4,4,"43,917,184", 46.66%
2017-03-14,2017066,3,2,2,"45,035,348", 30.49%
2017-03-13,2017065,5,7,7,"44,735,852", 59.06%
2017-03-12,2017064,1,5,8,"43,622,914", 112.09%
2017-03-11,2017063,8,6,4,"42,859,730", 49.46%
2017-03-10,2017062,9,7,5,"43,768,582", 82.86%
2017-03-09,2017061,4,5,4,"43,367,368", 42.69%
2017-03-08,2017060,8,6,8,"43,575,824", 27.00%
2017-03-07,2017059,1,4,3,"42,945,878", 29.79%
2017-03-06,2017058,2,6,2,"43,354,494", 27.52%
2017-03-05,2017057,2,4,2,"43,898,312", 46.97%
2017-03-04,2017056,1,0,2,"45,252,372", 35.07%
2017-03-03,2017055,2,7,6,"47,008,498", 64.20%
2017-03-02,2017054,7,5,4,"46,643,308", 36.63%
2017-03-01,2017053,6,5,2,"45,304,308", 60.77%
2017-02-28,2017052,7,3,1,"45,451,026", 37.04%
2017-02-27,2017051,7,0,2,"44,679,886", 52.79%
2017-02-26,2017050,2,7,8,"42,907,740", 57.04%
2017-02-25,2017049,0,3,6,"41,312,528", 53.61%
2017-02-24,2017048,5,5,7,"44,328,926", 54.55%
2017-02-23,2017047,9,4,5,"42,280,860", 93.36%
2017-02-22,2017046,5,7,0,"41,158,480", 27.18%
2017-02-21,2017045,6,7,9,"40,797,910", 51.65%
2017-02-20,2017044,8,6,1,"38,257,620", 58.79%
2017-02-19,2017043,0,5,0,"36,851,842", 38.74%
2017-02-18,2017042,0,0,0,"40,592,188", 260.66%
2017-02-17,2017041,4,8,0,"40,449,832", 39.52%
2017-02-16,2017040,8,9,9,"43,566,574", 76.41%
2017-02-15,2017039,3,9,5,"41,892,482", 28.97%
2017-02-14,2017038,1,3,4,"41,215,136", 42.80%
2017-02-13,2017037,8,9,7,"41,779,470", 49.14%
2017-02-12,2017036,6,5,0,"40,375,428", 50.19%
2017-02-11,2017035,6,2,4,"37,761,014", 45.59%
2017-02-10,2017034,3,4,8,"38,998,338", 92.26%
2017-02-09,2017033,1,1,4,"40,052,228", 51.86%
2017-02-08,2017032,2,3,7,"39,955,650", 46.62%
2017-02-07,2017031,3,7,6,"39,475,188", 57.80%
2017-02-06,2017030,1,0,7,"39,176,878", 40.09%
2017-02-05,2017029,2,7,2,"38,513,422", 67.14%
2017-02-04,2017028,1,9,3,"36,527,012", 42.17%
2017-02-03,2017027,8,7,3,"33,280,928", 48.87%
2017-01-26,2017026,2,5,9,"41,206,326", 21.90%
2017-01-25,2017025,3,5,9,"43,549,888", 38.57%
2017-01-24,2017024,7,0,9,"45,068,642", 48.35%
2017-01-23,2017023,2,5,0,"44,587,890", 35.52%
2017-01-22,2017022,0,2,8,"44,862,754", 66.21%
2017-01-21,2017021,8,5,4,"43,560,544", 48.80%
2017-01-20,2017020,8,9,3,"44,602,200", 55.91%
2017-01-19,2017019,6,0,6,"47,163,972", 59.92%
2017-01-18,2017018,3,1,5,"45,338,116", 74.31%
2017-01-17,2017017,8,1,7,"44,841,668", 107.60%
2017-01-16,2017016,4,6,9,"42,816,064", 64.79%
2017-01-15,2017015,9,5,0,"41,649,168", 32.69%
2017-01-14,2017014,2,2,1,"43,540,354", 30.49%
2017-01-13,2017013,5,8,2,"45,404,526", 59.57%
2017-01-12,2017012,1,2,5,"44,116,942", 29.46%
2017-01-11,2017011,9,0,9,"44,494,992", 29.60%
2017-01-10,2017010,9,7,6,"44,273,782", 31.71%
2017-01-09,2017009,2,0,2,"46,734,400", 38.78%
2017-01-08,2017008,1,6,9,"44,452,040", 109.44%
2017-01-07,2017007,7,8,3,"40,703,854", 53.59%
2017-01-06,2017006,8,8,8,"45,881,388", 98.93%
2017-01-05,2017005,2,4,6,"44,818,408", 113.84%
2017-01-04,2017004,3,1,7,"43,890,190", 37.83%
2017-01-03,2017003,6,5,0,"42,206,588", 57.24%
2017-01-02,2017002,7,7,9,"42,048,806", 60.82%
2017-01-01,2017001,3,6,9,"40,532,262", 132.33%
2016-12-31,2016359,8,8,3,"41,004,312", 40.78%
2016-12-30,2016358,1,1,0,"46,185,540", 55.10%
2016-12-29,2016357,4,1,5,"45,880,896", 29.32%
2016-12-28,2016356,1,2,5,"43,606,390", 58.37%
2016-12-27,2016355,9,4,2,"45,168,040", 41.81%
2016-12-26,2016354,4,2,8,"44,430,754", 32.63%
2016-12-25,2016353,0,8,4,"43,502,218", 41.85%
2016-12-24,2016352,0,1,6,"43,102,150", 29.31%
2016-12-23,2016351,8,1,8,"45,944,990", 63.38%
2016-12-22,2016350,3,8,3,"46,463,106", 63.05%
2016-12-21,2016349,0,4,9,"44,993,862", 27.50%
2016-12-20,2016348,2,8,9,"45,846,326", 38.93%
2016-12-19,2016347,8,0,6,"45,118,676", 73.58%
2016-12-18,2016346,0,2,9,"43,957,972", 38.63%
2016-12-17,2016345,5,5,9,"43,946,466", 35.69%
2016-12-16,2016344,3,6,7,"43,810,790", 69.49%
2016-12-15,2016343,2,2,5,"44,529,884", 43.37%
2016-12-14,2016342,4,4,8,"43,937,532", 30.25%
2016-12-13,2016341,1,5,1,"45,244,674", 28.16%
2016-12-12,2016340,4,9,3,"43,981,072", 70.88%
2016-12-11,2016339,2,6,2,"43,039,880", 39.78%
2016-12-10,2016338,3,0,1,"42,022,660", 96.81%
2016-12-09,2016337,2,9,9,"46,263,506", 46.30%
2016-12-08,2016336,0,9,7,"44,799,792", 29.99%
2016-12-07,2016335,5,5,0,"46,286,226", 28.59%
2016-12-06,2016334,1,8,9,"44,846,308", 90.73%
2016-12-05,2016333,0,5,4,"43,419,912", 64.56%
2016-12-04,2016332,7,7,6,"43,761,868", 49.23%
2016-12-03,2016331,9,8,3,"43,134,226", 40.60%
2016-12-02,2016330,3,1,8,"44,177,708", 60.03%
2016-12-01,2016329,2,4,4,"44,087,274", 61.39%
2016-11-30,2016328,7,0,9,"44,190,290", 33.96%
2016-11-29,2016327,8,3,1,"42,539,856", 61.12%
2016-11-28,2016326,6,9,0,"42,541,846", 41.48%
2016-11-27,2016325,9,6,1,"41,473,742", 61.84%
2016-11-26,2016324,6,6,3,"40,346,660", 52.32%
2016-11-25,2016323,8,7,7,"44,710,760", 33.18%
2016-11-24,2016322,1,5,3,"43,358,478", 39.69%
2016-11-23,2016321,8,3,2,"40,879,448", 104.64%
2016-11-22,2016320,5,2,9,"40,866,434", 102.27%
2016-11-21,2016319,5,5,7,"42,103,764", 32.82%
2016-11-20,2016318,4,7,0,"41,311,046", 36.31%
2016-11-19,2016317,2,4,3,"39,283,724", 61.69%
2016-11-18,2016316,7,7,4,"40,201,326", 38.90%
2016-11-17,2016315,8,8,8,"42,870,330", 165.97%
2016-11-16,2016314,1,5,7,"42,162,790", 39.26%
2016-11-15,2016313,3,7,3,"41,153,572", 28.40%
2016-11-14,2016312,1,1,3,"42,672,804", 28.17%
2016-11-13,2016311,3,9,8,"42,642,760", 55.72%
2016-11-12,2016310,0,4,5,"42,064,528", 23.60%
2016-11-11,2016309,8,3,0,"42,892,722", 84.30%
2016-11-10,2016308,7,4,3,"39,908,614", 40.85%
2016-11-09,2016307,9,9,7,"40,973,656", 51.20%
2016-11-08,2016306,0,7,3,"40,487,244", 49.40%
2016-11-07,2016305,7,4,4,"40,425,628", 55.39%
2016-11-06,2016304,8,5,6,"41,529,302", 37.73%
2016-11-05,2016303,8,0,1,"39,691,252", 36.53%
2016-11-04,2016302,6,5,6,"43,677,508", 48.07%
2016-11-03,2016301,5,7,2,"42,545,742", 94.24%
2016-11-02,2016300,8,0,5,"42,179,804", 39.26%
2016-11-01,2016299,0,4,5,"41,445,288", 48.11%
2016-10-31,2016298,6,5,1,"41,043,580", 69.93%
2016-10-30,2016297,1,6,0,"39,095,938", 38.71%
2016-10-29,2016296,7,8,4,"37,843,092", 25.95%
2016-10-28,2016295,7,8,9,"41,086,940", 69.41%
2016-10-27,2016294,3,3,4,"41,483,236", 63.08%
2016-10-26,2016293,3,2,6,"41,252,076", 46.82%
2016-10-25,2016292,5,0,7,"42,559,570", 48.05%
2016-10-24,2016291,1,3,7,"40,888,890", 61.79%
2016-10-23,2016290,4,3,0,"39,796,992", 29.39%
2016-10-22,2016289,3,5,9,"36,637,668", 96.55%
2016-10-21,2016288,0,1,0,"42,021,728", 48.21%
2016-10-20,2016287,6,2,1,"40,920,248", 52.99%
2016-10-19,2016286,9,0,7,"40,479,204", 46.37%
2016-10-18,2016285,8,4,8,"41,472,348", 40.51%
